Test Name,Transaction Log Location,Log Location Configuration ,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,1,1,1,0.029,35
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,3,1,3,0.014,215
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10,1,10,0.031,323
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,31,1,31,0.072,431
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,100,1,100,0.278,360
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,316,1,316,0.768,412
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,1000,1,1000,1.778,563
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,3162,1,3162,3.799,833
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,10000,1,10000,5.853,1709
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,31622,1,31622,14.977,2112
ZK Performance Test-Write,Ram Disk,16 GiO Ramdisk ,10000,Local Machine,Zookeeper-3.4.5,Create,3,100000,1,100000,45.761,2186
