Test Name,Transaction Log Location,Log Location Configuration ,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,1,1,1,0.016,63
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,3,1,3,0.003,1000
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,10,1,10,0.011,910
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,31,1,31,0.033,940
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,100,1,100,0.11,910
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,316,1,316,0.502,630
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,1000,1,1000,0.956,1047
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,3162,1,3162,1.685,1877
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,10000,1,10000,2.122,4713
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,31622,1,31622,3.521,8981
ZK Performance Test-Write,None,None,0,Local Machine,Zookeeper-3.4.5,Create,1,100000,1,100000,11.197,8931
